id,item_name,price_sell_jita,price_buy_jita,sell_vol_jita,buy_vol_jita,station_price_diff_jita_%,price_sell_amarr,price_buy_amarr,sell_vol_amarr,buy_vol_amarr,station_price_diff_amarr_%,jita_to_amarr_sell_sell_%,jita_to_amarr_buy_buy_%,jita_to_amarr_sell_buy_%,jita_to_amarr_buy_sell_%
588,Reaper,22.90 K ISK,900.00 ISK,1.00 ISK,675.00 ISK,96.07,98.00 K ISK,,1.00 ISK,0.00 ISK,,327.95,,,10788.89
37455,Griffin Navy Issue,8.20 M ISK,5.03 M ISK,6.00 ISK,5.00 ISK,38.63,28.96 M ISK,8.60 M ISK,4.00 ISK,16.00 ISK,70.3,253.17,70.91,4.88,475.52
594,Incursus,147.50 K ISK,105.20 K ISK,2.00 ISK,90.00 ISK,28.68,283.00 K ISK,117.90 K ISK,11.00 ISK,173.00 ISK,58.34,91.86,12.07,-20.07,169.01
11190,Sentinel,22.59 M ISK,18.83 M ISK,4.00 ISK,9.00 ISK,16.64,43.23 M ISK,21.68 M ISK,1.00 ISK,1.00 ISK,49.85,91.37,15.14,-4.03,129.58
2863,Primae,23.00 M ISK,20.11 M ISK,2.00 ISK,1.00 ISK,12.57,43.98 M ISK,5.00 M ISK,1.00 ISK,4.00 ISK,88.63,91.22,-75.13,-78.26,118.7
648,Badger,1.19 M ISK,791.70 K ISK,7.00 ISK,1.00 ISK,33.25,2.24 M ISK,1.64 M ISK,3.00 ISK,2.00 ISK,26.57,88.79,107.65,38.62,182.81
650,Nereus,1.60 M ISK,1.60 M ISK,2.00 ISK,3.00 ISK,0.06,3.00 M ISK,2.21 M ISK,4.00 ISK,7.00 ISK,26.21,87.07,38.12,38.04,87.19
37457,Deacon,22.00 M ISK,17.61 M ISK,2.00 ISK,29.00 ISK,19.95,38.68 M ISK,15.08 M ISK,3.00 ISK,2.00 ISK,61.01,75.82,-14.37,-31.45,119.65
37454,Vigil Fleet Issue,8.29 M ISK,7.29 M ISK,3.00 ISK,1.00 ISK,12.08,13.94 M ISK,7.70 M ISK,15.00 ISK,18.00 ISK,44.76,68.17,5.65,-7.11,91.27
1944,Bestower,2.20 M ISK,1.85 M ISK,1.00 ISK,1.00 ISK,15.68,3.60 M ISK,2.91 M ISK,1.00 ISK,1.00 ISK,19.01,63.55,57.09,32.45,93.96
72903,Probe Fleet Issue,10.50 M ISK,7.71 M ISK,3.00 ISK,1.00 ISK,26.55,16.75 M ISK,6.80 M ISK,4.00 ISK,4.00 ISK,59.4,59.52,-11.83,-35.24,117.19
653,Wreathe,2.00 M ISK,1.31 M ISK,1.00 ISK,1.00 ISK,34.48,3.08 M ISK,1.60 M ISK,5.00 ISK,5.00 ISK,48.0,54.2,22.38,-19.82,135.37
601,Ibis,11.22 K ISK,11.21 K ISK,1.00 ISK,31.00 ISK,0.09,17.30 K ISK,,4.00 ISK,0.00 ISK,,54.19,,,54.33
593,Tristan,454.00 K ISK,336.50 K ISK,9.00 ISK,2.00 ISK,25.88,698.60 K ISK,381.50 K ISK,26.00 ISK,71.00 ISK,45.39,53.88,13.37,-15.97,107.61
