item_name,item_buy_price,item_sell_price,item_total_price,buy_lp_profit,sell_lp_profit,buy_volume
Cruise Missile Specialization,3401000.0,7234000.0,0,1076,2290,11
Caldari Navy 425mm Railgun,60360000.0,130000000.0,63169000.0,-89,2115,5
Caldari Navy Rapid Light Missile Launcher,160900000.0,190800000.0,143897000.0,672,1856,2
Caldari Navy EM Shield Hardener,26920000.0,47950000.0,26650900.0,21,1798,7
Caldari Navy Rapid Heavy Missile Launcher (Prod)*,280450000.0,64920000.0,189956603.05,1145,1705,2
Caldari Navy Cruise Missile Launcher (Prod)*,307950000.0,73900000.0,216203497.5,968,1617,6
Caldari Navy Antimatter Charge L,5435000.0,1284.0,2400000,1200,1591,75092
Zainou 'Snapshot' Heavy Missiles HM-703,17230000.0,27390000.0,10875000,554,1442,17
Caldari Navy X-Large Shield Booster,192500000.0,237800000.0,146424500.0,720,1428,2
Navy Micro Auxiliary Power Core,7888000.0,8988000.0,6772700.0,705,1402,10
Zainou 'Deadeye' Rapid Launch RL-1001,613000.0,918500.0,375000,602,1376,9
Zainou 'Gypsy' Signature Analysis SA-703,18190000.0,25950000.0,10875000,638,1316,4
Scorpion Navy Issue (Production)*,532300000.0,596400000.0,459748000.0,688,1297,2
Caldari Navy Uranium Charge L,4552000.0,1275.0,3144500.0,556,1278,96452
Caldari Navy Power Diagnostic System,27030000.0,29940000.0,16904950.0,961,1237,20
Caldari Navy Mjolnir Torpedo,11210000.0,2931.0,7636500.0,616,1212,1157
Caldari Navy Heavy Missile Launcher,159300000.0,174500000.0,143934000.0,608,1209,1
Griffin Navy Issue (Production),8144000.0,9750000.0,4658325.0,827,1208,1
Raven Navy Issue (Production)*,546000000.0,585000000.0,459748000.0,818,1189,1
Caldari Navy Large Shield Extender,26290000.0,29210000.0,16960500.0,885,1162,7
Zainou 'Gnome' Shield Operation SP-901,202000.0,833000.0,375000,-438,1159,1
Caldari Navy Thorium Charge L,4411500.0,1142.0,2795000.0,639,1153,50000
Caldari Navy Hookbill (Production),8573000.0,9492000.0,4658325.0,929,1147,20
Zainou 'Gypsy' CPU Management EE-601,578500.0,823700.0,375000,514,1136,246
Caldari Navy Torpedo Launcher,100000000.0,106400000.0,70827900.0,923,1125,5
Caldari Navy Iridium Charge L,4515500.0,1147.0,2899950.0,639,1121,9744
Heron Navy Issue (Production)*,8025000.0,9351000.0,4658325.0,798,1114,6
Caldari Navy Large Shield Booster,162600000.0,179600000.0,120961600.0,780,1100,1
Caldari Navy Hornet,5475000.0,1288000.0,3039200.0,770,1076,5
Caldari Navy Plutonium Charge L,4358500.0,1196.0,3280000.0,426,1068,30000
Zainou 'Deadeye' Guided Missile Precision GP-801,320600.0,790000.0,375000,-138,1050,25
Ferox Navy Issue (Production)*,134600000.0,148400000.0,104288000.0,719,1046,2
Caldari Navy Inferno Heavy Missile,5605000.0,1396.0,3674850.0,610,1045,316301
Zainou 'Snapshot' Light Missiles LM-901,362900.0,787800.0,375000,-31,1045,50
Datacore - Rocket Science,419450.0,104000.0,250000,643,1026,6000
Caldari Navy Medium Shield Extender,9328000.0,10090000.0,6860850.0,780,1022,19
Cormorant Navy Issue (Production),18350000.0,19740000.0,6847080.0,910,1020,7
Caldari Navy Thorium Charge S,1750000.0,509.6,1259500.0,387,1019,98000
Caldari Navy Vespa,7800000.0,1693000.0,4174700.0,860,1018,5
Caldari Navy Wasp,10095000.0,2165000.0,5586500.0,855,994,5
Caldari Navy Tungsten Charge L,3066500.0,1021.0,2644950.0,166,973,79709
Drake Navy Issue (Production)*,132000000.0,144900000.0,104288000.0,657,964,2
Zainou 'Gypsy' CPU Management EE-603,18650000.0,21900000.0,10875000,678,962,4
Caldari Navy Mjolnir Cruise Missile,9520000.0,2060.0,6082500.0,777,953,8069
Caldari Navy Lead Charge L,2670500.0,1002.0,2635000.0,13,939,30000
Eifyr and Co. 'Rogue' Navigation NN-605,131100000.0,157800000.0,79375000,618,938,1
Torpedo Specialization,6000000.0,8874000.0,0,632,936,6
Datacore - Graviton Physics,435050.0,99250.0,250000,703,935,955
Heavy Missile Specialization,1900000.0,2949000.0,0,601,933,9
Navy Cap Booster 800,3716000.0,206900.0,2177900.0,730,931,4684
Caldari Navy Mjolnir Heavy Assault Missile,4757500.0,1300.0,3589500.0,369,921,110769
Caldari Navy Tungsten Charge M,2826500.0,658.8,1744900.0,642,919,90533
Heavy Assault Missile Specialization,1600000.0,2897000.0,0,506,916,23
Osprey Navy Issue (Production)*,46630000.0,50040000.0,32762200.0,731,911,2
Caldari Navy Inferno Light Missile,4263000.0,952.9,2460750.0,712,911,59193
Caldari Navy Small Shield Extender,1927000.0,2118000.0,1159987.0,728,910,11
Caracal Navy Issue (Production)*,45460000.0,49950000.0,32762200.0,669,906,2
Zainou 'Snapshot' Torpedoes TD-603,17510000.0,21210000.0,10875000,579,902,6
Caldari Navy Iron Charge L,4260000.0,969.2,2645000.0,638,871,89622
Caldari Navy Antimatter Charge M,3168000.0,700.0,2035000.0,672,869,71511
Caldari Navy Inferno Heavy Assault Missile,4857000.0,1148.0,3000000,588,867,21010
Caldari Navy Nova Cruise Missile,7890000.0,1763.0,5019000.0,648,857,5634
Zainou 'Deadeye' Target Navigation Prediction TN-905,132300000.0,151100000.0,79375000,632,857,2
Datacore - Quantum Physics,430400.0,95120.0,250000,684,856,144
Zainou 'Gypsy' Signature Analysis SA-705,127400000.0,150800000.0,79375000,574,854,1
Zainou 'Snapshot' Torpedoes TD-605,128300000.0,149700000.0,79375000,585,840,1
Light Missile Specialization,400000.0,883600.0,0,380,838,29
Zainou 'Deadeye' Rapid Launch RL-1003,18120000.0,20470000.0,10875000,632,837,19
Caldari Navy Uranium Charge S,1300000.0,490.0,1397000.0,-76,833,7024
Caldari Navy Thorium Charge M,34750.0,655.5,1879000.0,-1095,830,293970
Caldari Navy Inferno Cruise Missile,7775000.0,1734.0,5015000.0,624,826,203008
Caldari Navy Iron Charge M,2950000.0,627.4,1745000.0,715,826,23048
Eifyr and Co. 'Gunslinger' Motion Prediction MR-703,18110000.0,20280000.0,10875000,631,820,1
Eifyr and Co. 'Rogue' Navigation NN-601,166200.0,698900.0,375000,-529,819,9
Caldari Navy Scourge Cruise Missile,8335000.0,1840.0,5579500.0,623,818,10162
Zainou 'Deadeye' Large Hybrid Turret LH-1005,132100000.0,147600000.0,79375000,630,816,1
Navy Cap Booster 3200,14204000.0,759000.0,8378800.0,691,807,339
Zainou 'Snapshot' Heavy Assault Missiles AM-705,132200000.0,146800000.0,79375000,631,806,2
Caldari Navy Nova Torpedo,10980000.0,2368.0,7187000.0,654,803,40740
Caldari Navy Mjolnir Light Missile,4198500.0,898.7,2479950.0,680,796,32447
Caldari Navy Lead Charge S,907000.0,448.0,1245000.0,-267,787,80000
Caldari Navy Scourge Heavy Assault Missile,4688000.0,1189.0,3460000.0,388,786,10000
Caldari Navy Scourge Light Missile,4107500.0,889.8,2467900.0,648,783,21731
Zainou 'Snapshot' Heavy Assault Missiles AM-703,17430000.0,19820000.0,10875000,571,780,10
Caldari Navy Antimatter Charge S,2072500.0,468.9,1359000.0,564,779,719186
